task_template;answer;created_by;task_id;author
В амфитеатре $10$ рядов. В первом ряду $20$ мест, а в каждом следующем на $4$ места больше, чем в предыдущем. Сколько мест в восьмом ряду амфитеатра?;48;Admin_M;76;ФИПИ
В амфитеатре $12$ рядов. В первом ряду $15$ мест, а в каждом следующем на $5$ мест больше, чем в предыдущем. Сколько мест в десятком ряду амфитеатра?;60;Admin_M;76;ФИПИ
В амфитеатре $14$ рядов. В первом ряду $12$ мест, а в каждом следующем на $2$ места больше, чем в предыдущем. Сколько мест в тринадцатом ряду амфитеатра?;36;Admin_M;76;ФИПИ
В амфитеатре $8$ рядов. В первом ряду $25$ мест, а в каждом следующем на $6$ мест больше, чем в предыдущем. Сколько мест в шестом ряду амфитеатра?;55;Admin_M;76;ФИПИ
В амфитеатре $16$ рядов. В первом ряду $18$ мест, а в каждом следующем на $2$ места больше, чем в предыдущем. Сколько мест в пятнадцатом ряду амфитеатра?;46;Admin_M;76;ФИПИ
При проведении опыта вещество равномерно охлаждали в течение $8$ минут. При этом каждую минуту температура вещества уменьшалась на $5° C$. Найдите температуру вещества (в градусах Цельсия) через $3$ минуты после начала проведения опыта, если его начальная температура составляла $−10° C$.;-25;Admin_M;76;ФИПИ
При проведении опыта вещество равномерно охлаждали в течение $12$ минут. При этом каждую минуту температура вещества уменьшалась на $6° C$. Найдите температуру вещества (в градусах Цельсия) через $5$ минут после начала проведения опыта, если его начальная температура составляла $−5° C$.;-35;Admin_M;76;ФИПИ
При проведении опыта вещество равномерно охлаждали в течение $15$ минут. При этом каждую минуту температура вещества уменьшалась на $4° C$. Найдите температуру вещества (в градусах Цельсия) через $7$ минут после начала проведения опыта, если его начальная температура составляла $0° C$.;-28;Admin_M;76;ФИПИ
При проведении опыта вещество равномерно охлаждали в течение $20$ минут. При этом каждую минуту температура вещества уменьшалась на $3° C$. Найдите температуру вещества (в градусах Цельсия) через $10$ минут после начала проведения опыта, если его начальная температура составляла $5° C$.;-25;Admin_M;76;ФИПИ
При проведении опыта вещество равномерно охлаждали в течение $9$ минут. При этом каждую минуту температура вещества уменьшалась на $8° C$. Найдите температуру вещества (в градусах Цельсия) через $4$ минуты после начала проведения опыта, если его начальная температура составляла $−2° C$.;-34;Admin_M;76;ФИПИ
В амфитеатре $14$ рядов, причем в каждом следующем ряду на одно и то же число мест больше, чем в предыдущем. В третьем ряду $15$ мест, а в седьмом ряду $23$ места. Сколько мест в последнем ряду амфитеатра?;37;Admin_M;76;ФИПИ
В амфитеатре $18$ рядов, причем в каждом следующем ряду на одно и то же число мест больше, чем в предыдущем. В первом ряду $12$ мест, а в пятом ряду $24$ места. Сколько мест в последнем ряду амфитеатра?;63;Admin_M;76;ФИПИ
В амфитеатре $20$ рядов, причем в каждом следующем ряду на одно и то же число мест больше, чем в предыдущем. В шестом ряду $30$ мест, а в десятом ряду $42$ места. Сколько мест в последнем ряду амфитеатра?;72;Admin_M;76;ФИПИ
В амфитеатре $10$ рядов, причем в каждом следующем ряду на одно и то же число мест больше, чем в предыдущем. В четвертом ряду $10$ мест, а в восьмом ряду $18$ мест. Сколько мест в последнем ряду амфитеатра?;22;Admin_M;76;ФИПИ
В амфитеатре $15$ рядов, причем в каждом следующем ряду на одно и то же число мест больше, чем в предыдущем. В втором ряду $14$ мест, а в шестом ряду $26$ мест. Сколько мест в последнем ряду амфитеатра?;53;Admin_M;76;ФИПИ
В амфитеатре $12$ рядов. В первом ряду $18$ мест, а в каждом следующем на $3$ места больше, чем в предыдущем. Сколько всего мест в амфитеатре?;414;Admin_M;76;ФИПИ
В амфитеатре $10$ рядов. В первом ряду $30$ мест, а в каждом следующем на $4$ места больше, чем в предыдущем. Сколько всего мест в амфитеатре?;480;Admin_M;76;ФИПИ
В амфитеатре $16$ рядов. В первом ряду $20$ мест, а в каждом следующем на $1 $ место больше, чем в предыдущем. Сколько всего мест в амфитеатре?;440;Admin_M;76;ФИПИ
В амфитеатре $8$ рядов. В первом ряду $22$ места, а в каждом следующем на $5$ мест больше, чем в предыдущем. Сколько всего мест в амфитеатре?;316;Admin_M;76;ФИПИ
В амфитеатре $18$ рядов. В первом ряду $15$ мест, а в каждом следующем на $2$ места больше, чем в предыдущем. Сколько всего мест в амфитеатре?;576;Admin_M;76;ФИПИ
